example,problem_size,backend_service_provider,backend_name,num_shots,status,job_id,submitted_timestamp,timestamp,heavy_output_probability,execution_time,circuit_depth,circuit_width,two_qubit_gate_count
qv_3_0,3,Classiq,simulator,1000,COMPLETED,09a356b1-794b-4c25-803f-4769cfd56d71,2026-05-06T11:09:14.100454,2026-05-06T11:09:27.032169,0.8560000000000001,0.013021633333333334,19,3,9
qv_3_1,3,Classiq,simulator,1000,COMPLETED,cd8e48ce-5aab-44e7-8fce-18bf118b9b84,2026-05-06T11:09:17.189656,2026-05-06T11:09:26.861439,0.5720000000000001,0.013760183333333334,19,3,9
qv_3_2,3,Classiq,simulator,1000,COMPLETED,a46d2a5c-6ebe-493a-9ef0-18be7f5400fa,2026-05-06T11:09:20.844693,2026-05-06T11:09:26.856077,0.805,0.012239966666666666,19,3,9
qv_3_3,3,Classiq,simulator,1000,COMPLETED,e86db382-65e7-4ce0-b1b7-41733de3049b,2026-05-06T11:10:15.785880,2026-05-06T11:10:31.905772,0.788,0.012238433333333333,19,3,9
qv_3_4,3,Classiq,simulator,1000,COMPLETED,ce538138-0ed1-4910-aed7-1c834350f536,2026-05-06T11:10:19.223008,2026-05-06T11:10:32.061497,0.8160000000000001,0.01308635,19,3,9
qv_3_5,3,Classiq,simulator,1000,COMPLETED,b80c25a3-df08-4198-8f2b-3ebdccf04fbc,2026-05-06T11:10:22.425253,2026-05-06T11:10:29.463912,0.936,0.013791383333333332,19,3,9
qv_3_6,3,Classiq,simulator,1000,COMPLETED,2796b93d-de43-462d-8b8a-33610abccd73,2026-05-06T11:11:28.653999,2026-05-06T11:11:43.372667,0.8250000000000001,0.01186895,19,3,9
qv_3_7,3,Classiq,simulator,1000,COMPLETED,92ded589-f4aa-43fc-86e7-fd98db82c4a6,2026-05-06T11:11:32.101906,2026-05-06T11:11:43.374698,0.918,0.017213066666666665,19,3,9
qv_3_8,3,Classiq,simulator,1000,COMPLETED,66922e15-ef8b-4419-8712-e6c115d8526e,2026-05-06T11:11:35.310437,2026-05-06T11:11:42.296359,0.819,0.012112333333333334,19,3,9
qv_3_9,3,Classiq,simulator,1000,COMPLETED,45588044-b3c5-43eb-8bd6-7e106f3e3629,2026-05-06T11:12:44.488726,2026-05-06T11:12:58.736568,0.8979999999999999,0.013691316666666667,19,3,9
qv_3_0,3,Classiq,simulator_statevector,1000,COMPLETED,495a7752-bd51-4e0f-872f-0e8422020c2f,2026-05-06T11:12:48.222464,2026-05-06T11:12:58.433370,0.841816026613547,0.012731383333333334,20,3,9
qv_3_1,3,Classiq,simulator_statevector,1000,COMPLETED,49626640-e643-44f5-8943-56c30d37230c,2026-05-06T11:12:51.639188,2026-05-06T11:12:58.399847,0.5738441962934627,0.012439183333333333,20,3,9
qv_3_2,3,Classiq,simulator_statevector,1000,COMPLETED,4e0046e8-a170-4e97-b576-7a6966d95319,2026-05-06T11:14:05.208933,2026-05-06T11:14:20.097019,0.8168387705647511,0.012782916666666666,20,3,9
qv_3_3,3,Classiq,simulator_statevector,1000,COMPLETED,38c062e6-911b-4ed3-8354-059f9d0b0fae,2026-05-06T11:14:08.705646,2026-05-06T11:14:20.099003,0.7897235405469233,0.0135961,20,3,9
qv_3_4,3,Classiq,simulator_statevector,1000,COMPLETED,c18ff26b-414d-4878-8e25-e0ec071ff9a2,2026-05-06T11:14:12.224582,2026-05-06T11:14:19.569125,0.8338643423387171,0.0125752,20,3,9
qv_3_5,3,Classiq,simulator_statevector,1000,COMPLETED,dc4965a4-544c-468d-a555-56e45b944bcf,2026-05-06T11:15:24.655472,2026-05-06T11:15:40.312663,0.9319558216285169,0.013420850000000002,20,3,9
qv_3_6,3,Classiq,simulator_statevector,1000,COMPLETED,494100cc-efde-4166-bc87-fecbbb66162e,2026-05-06T11:15:28.041254,2026-05-06T11:15:38.523052,0.8218097064322227,0.0131653,20,3,9
qv_3_7,3,Classiq,simulator_statevector,1000,COMPLETED,68a348de-96ad-4d49-9962-60d1e306ed61,2026-05-06T11:15:31.211419,2026-05-06T11:15:37.805190,0.9223806878692976,0.0141327,20,3,9
qv_3_8,3,Classiq,simulator_statevector,1000,COMPLETED,d1b2fe50-8f12-4884-b156-9adc5a9c1d59,2026-05-06T11:16:33.786573,2026-05-06T11:16:44.814093,0.8147309112636113,0.012718150000000001,20,3,9
qv_3_9,3,Classiq,simulator_statevector,1000,COMPLETED,93922c05-350b-4419-a87e-789498b0aaa8,2026-05-06T11:16:37.015494,2026-05-06T11:16:45.100932,0.9048475690127886,0.014135266666666667,20,3,9
