p,counts,count,probability,bitstring
-2,927,927,0.927,110
-1,46,46,0.046,111
-3,18,18,0.018,101
-4,4,4,0.004,100
0,3,3,0.003,000
2,1,1,0.001,010
3,1,1,0.001,011
