p,counts,count,probability,bitstring
-2,585,585,0.585,110
-1,128,128,0.128,111
-3,71,71,0.071,101
1,56,56,0.056,001
2,53,53,0.053,010
-4,45,45,0.045,100
3,36,36,0.036,011
0,26,26,0.026,000
