p,counts,count,probability,bitstring
-2,706,706,0.706,110
-1,78,78,0.078,111
-3,70,70,0.07,101
2,44,44,0.044,010
1,34,34,0.034,001
-4,32,32,0.032,100
3,24,24,0.024,011
0,12,12,0.012,000
