p,counts,count,probability,bitstring
-2,548,548,0.548,110
1,94,94,0.094,001
-1,91,91,0.091,111
2,66,66,0.066,010
-3,58,58,0.058,101
3,53,53,0.053,011
-4,46,46,0.046,100
0,44,44,0.044,000
